"111年11月11日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
="00640L","富邦日本正2","295,000","90","8,632,490","29.24","29.38","29.12","29.35","+","1.22","29.34","28","29.35","60","0.00",
="00641R","富邦日本反1","1,325,000","178","12,642,540","9.58","9.60","9.51","9.54","-","0.21","9.53","9","9.54","51","0.00",
="00642U","期元大S&P石油","1,941,317","387","35,975,593","18.56","18.57","18.50","18.57","+","0.16","18.57","425","18.58","7","0.00",
="00643","群益深証中小","364,362","79","5,415,343","14.90","15.08","14.78","14.89","+","0.27","14.89","20","14.91","37","0.00",
="00643K","群益深証中小+R","0","0","0","--","--","--","--"," ","0.00","3.36","1","3.42","1","0.00",
="00645","富邦日本","94,964","833","2,498,681","26.32","26.35","26.27","26.32","+","0.51","26.32","40","26.33","2","0.00",
="00646","元大S&P500","2,166,769","753","82,719,508","38.51","38.51","38.07","38.13","+","1.13","38.12","70","38.13","91","0.00",
="00647L","元大S&P500正2","1,015,345","286","54,713,187","54.20","54.20","53.65","54.00","+","5.10","54.00","60","54.05","41","0.00",
="00648R","元大S&P500反1","13,763,192","831","102,146,840","7.44","7.44","7.40","7.40","-","0.48","7.40","7","7.41","463","0.00",
="00650L","FH香港正2","21,172,468","2,592","221,121,597","10.20","10.67","10.20","10.58","+","1.17","10.58","788","10.59","4","0.00",
="00651R","FH香港反1","5,077,557","418","51,268,590","10.30","10.30","10.00","10.01","-","0.76","10.01","22","10.02","698","0.00",
="00652","富邦印度","175,882","542","5,528,684","31.10","31.50","31.10","31.37","+","0.31","31.36","4","31.38","4","0.00",
="00653L","富邦印度正2","327,632","132","15,789,221","48.02","48.40","47.84","47.90","+","1.16","47.90","17","47.98","4","0.00",
="00654R","富邦印度反1","1,021,000","161","7,904,480","7.71","7.78","7.71","7.77","-","0.17","7.74","208","7.77","45","0.00",
="00655L","國泰中國A50正2","4,848,438","909","119,942,112","24.60","25.18","24.30","24.77","+","1.49","24.77","327","24.78","3","0.00",
="00656R","國泰中國A50反1","2,889,135","96","26,835,662","9.25","9.34","9.16","9.22","-","0.39","9.21","10","9.22","96","0.00",
="00657","國泰日經225","3,000","3","98,700","32.90","32.94","32.86","32.86","+","0.82","32.89","10","33.00","40","0.00",
="00657K","國泰日經225+U","200","2","2,094","10.47","10.47","10.47","10.47","+","0.41","10.47","1","10.52","1","0.00",
="00660","元大歐洲50","25,403","1,029","717,787","28.24","28.38","28.21","28.38","+","1.18","28.36","20","28.40","1","0.00",
="00661","元大日經225","5,000","4","178,010","35.59","35.72","35.55","35.72","+","1.01","35.64","10","35.73","1","0.00",
="00662","富邦NASDAQ","1,156,050","565","54,256,607","47.47","47.47","46.80","46.90","+","2.49","46.90","3","46.91","6","0.00",
="00663L","國泰臺灣加權正2","3,231,010","178","267,322,830","82.90","83.30","81.80","83.30","+","6.30","83.30","198","83.45","57","0.00",
="00664R","國泰臺灣加權反1","43,505,673","1,599","297,978,976","6.84","6.90","6.83","6.84","-","0.27","6.83","439","6.84","1,104","0.00",
="00665L","富邦恒生國企正2","28,088,208","2,059","185,473,833","6.45","6.77","6.45","6.65","+","0.72","6.65","88","6.66","51","0.00",
="00666R","富邦恒生國企反1","770,000","164","13,634,300","17.52","18.01","17.48","17.68","-","1.39","17.68","97","17.73","10","0.00",
="00668","國泰美國道瓊","172,801","766","6,648,601","38.77","38.77","38.20","38.24","+","0.78","38.24","41","38.30","20","0.00",
="00668K","國泰美國道瓊+U","200","2","2,446","12.23","12.23","12.23","12.23","+","0.45","12.17","1","12.21","1","0.00",
="00669R","國泰美國道瓊反1","33,574,100","2,884","267,168,857","7.95","7.98","7.94","7.95","-","0.33","7.95","380","7.96","3,487","0.00",
="00670L","富邦NASDAQ正2","11,416,822","3,654","637,903,925","55.70","56.10","55.60","56.05","+","6.82","56.05","22","56.10","36","0.00",
="00671R","富邦NASDAQ反1","34,539,369","2,267","216,725,667","6.28","6.30","6.25","6.27","-","0.49","6.26","2,366","6.27","220","0.00",
="00673R","期元大S&P原油反1","33,151,204","2,087","272,916,128","8.26","8.26","8.21","8.24","-","0.11","8.23","748","8.24","857","0.00",
="00674R","期元大S&P黃金反1","5,978,220","745","80,123,373","13.43","13.45","13.36","13.36","-","0.43","13.35","7","13.36","98","0.00",
="00675L","富邦臺灣加權正2","6,077,109","1,320","219,482,769","36.16","36.36","35.64","36.30","+","2.57","36.29","111","36.30","16","0.00",
="00676R","富邦臺灣加權反1","41,168,035","1,485","154,738,743","3.75","3.79","3.74","3.75","-","0.16","3.74","1,183","3.75","1,371","0.00",
="00678","群益NBI生技","373,612","889","10,058,545","27.09","27.10","26.90","26.92","+","0.44","26.92","27","26.95","4","0.00",
